aX,aY,aZ,gX,gY,gZ
0.858,0.126,-0.503,-0.916,-31.128,-2.197
0.867,0.101,-0.535,-2.930,-29.663,-1.892
0.867,0.094,-0.579,-6.714,-29.358,-1.526
0.879,0.110,-0.621,-11.169,-29.541,-1.221
0.887,0.130,-0.647,-13.550,-31.738,-0.549
0.882,0.164,-0.672,-14.038,-34.668,0.488
0.881,0.204,-0.683,-12.268,-37.842,0.977
0.879,0.218,-0.682,-8.423,-41.870,0.366
0.875,0.208,-0.665,-4.150,-46.387,-0.916
0.868,0.184,-0.641,-2.502,-49.805,-2.441
0.862,0.155,-0.625,-4.089,-52.368,-3.296
0.862,0.139,-0.612,-9.827,-53.894,-4.028
0.863,0.128,-0.599,-17.883,-54.871,-5.188
0.862,0.131,-0.594,-26.184,-55.847,-5.676
0.863,0.153,-0.590,-32.532,-56.580,-5.737
0.874,0.180,-0.582,-34.363,-58.655,-5.310
0.873,0.194,-0.569,-31.982,-61.157,-5.371
0.873,0.186,-0.552,-27.649,-63.293,-6.165
0.865,0.156,-0.537,-24.719,-66.162,-7.202
0.864,0.131,-0.518,-27.771,-68.909,-8.667
0.865,0.109,-0.508,-36.255,-70.923,-10.010
0.868,0.096,-0.512,-47.424,-72.327,-10.925
0.871,0.100,-0.525,-58.716,-72.937,-10.620
0.864,0.119,-0.552,-68.298,-73.975,-9.827
0.873,0.152,-0.602,-75.745,-76.233,-10.132
0.873,0.174,-0.629,-79.285,-80.933,-12.024
0.863,0.176,-0.625,-76.660,-87.524,-13.794
0.856,0.161,-0.599,-69.153,-93.506,-14.893
0.852,0.123,-0.557,-60.425,-98.816,-15.137
0.849,0.076,-0.507,-53.955,-104.004,-14.954
0.844,0.045,-0.461,-51.331,-108.093,-14.221
0.834,0.041,-0.416,-51.636,-111.328,-12.939
0.819,0.069,-0.375,-50.293,-113.037,-10.437
0.811,0.099,-0.341,-43.152,-113.464,-7.935
0.828,0.092,-0.324,-31.860,-114.807,-7.324
0.835,0.061,-0.281,-23.132,-119.324,-8.972
0.832,0.026,-0.204,-18.250,-126.099,-11.108
0.831,0.002,-0.134,-18.005,-131.287,-12.695
0.832,-0.004,-0.086,-20.081,-134.460,-13.550
0.829,-0.001,-0.039,-20.996,-135.986,-13.550
0.835,-0.003,0.007,-18.982,-135.742,-12.573
0.821,-0.005,0.058,-15.259,-133.179,-10.071
0.806,0.016,0.103,-11.047,-128.296,-6.165
0.786,0.033,0.137,-5.798,-123.474,-3.174
0.790,0.060,0.143,-0.183,-120.178,-1.831
0.795,0.085,0.136,3.235,-120.178,-2.869
0.781,0.081,0.173,5.493,-124.268,-6.531
0.760,0.052,0.222,5.737,-128.113,-11.658
0.753,0.001,0.263,3.845,-128.235,-15.869
0.748,-0.034,0.290,-0.366,-125.854,-17.151
0.746,-0.057,0.303,-6.165,-120.789,-15.930
